Station,Slope,p value,R squared value,St error,Intercept
Portland,0.02,0.08,0.03,0.01,-24.447
Boston,0.02,0.05,0.04,0.01,-27.461
Newport,0,0.36,0.01,0,-6.295
Montauk,0.04,0.05,0.07,0.02,-62.768
The Battery,0.04,0,0.13,0.01,-81.673
Sandy H.,0.03,0.06,0.04,0.01,-48.393
Atlantic C.,0.03,0.02,0.06,0.01,-55.498
Sewell's P.,0.08,0,0.11,0.02,-144.668
Willmington,0.06,0.02,0.07,0.02,-110.805
Charleston,0.02,0,0.15,0.01,-42.395
Fernand. B.,0.02,0.02,0.07,0.01,-35.739
Key West,0.03,0,0.11,0.01,-52.392